name,count
aaronsmithcnn,1
youre,5
really,10
tempting,1
fate,1
by,31
posting,2
that,38
twitter,3
whitneymallett,3
as,21
long,4
im,13
getting,7
least,3
two,6
bars,1
i,37
dont,10
freak,1
switching,1
my,25
phone,12
airplane,1
mode,1
night,2
feels,1
like,14
modest,2
spiritual,1
act,3
what,13
happened,2
when,4
canadian,1
town,4
tried,3
guaranteed,1
basic,1
income,2
,323
great,22
piece,5
httptcot2cpbavgxb,1
inside,6
airbnb,1
awesome,5
interactive,2
project,1
nyc,4
listings,1
murrayscox,1
httptco1h6abrjod3,1
aidanfeldman,1
thanks,11
bunch,1
looking,5
forward,3
catching,1
you,47
again,4
soon,4
comcast,3
pr,1
ghostwriting,1
politician,2
letters,1
support,3
comcasttwc,1
merger,2
scoop,1
spencerwoodman,1
httptcofiedhms4zq,1
midnitesnak,1
lets,3
go,4
energy,1
civichall,1
open,2
house,5
today,13
psyched,1
see,10
this,39
community,1
develop,1
delint,2
where,1
slideshow,3
elderly,1
track,2
amp,2
field,2
competitors,1
httptcokrp66rg4oh,1
seems,4
worth,4
resurfacing,1
greek,4
debt,6
crisis,7
shades,2
argentina,3
httptcojdmxs6uz5f,1
rosskurken,10
more,20
not,27
peiing,1
enough,3
amirite,1
huge,1
lexharis,1
richbarbieri,2
davidgoldmancnn,4
and,68
other,2
colleagues,2
too,5
numerous,1
mention,3
some,11
personal,2
news,5
loyal,2
followers,3
last,6
cnnmoney,4
off,10
wild,1
world,11
software,1
development,1
octaviocnn,3
reports,1
business,6
mexicos,1
onetime,1
murder,1
capital,3
httptco2ghm5ynopz,1
emilyjanefox,4
get,18
back,7
work,6
emily,1
17,2
setting,2
protests,3
roil,1
hong,2
kong,2
httptcoau7rmidd0s,1
exgeorgian,1
pres,1
lands,1
williamsburg,1
neighborhoods,1
timehonored,1
tradition,2
mysteriously,1
sourced,1
wealth,4
httptcoy4qebe1b9n,1
reporting,3
bloomberg,4
secret,5
network,2
connects,1
harvard,1
money,9
payday,1
loans,3
httptcowt7gokpqdd,1
chrisburkeshay,3
ishaantharoor,2
up,20
your,16
alleys,1
httptcolaclnvocjj,1
librarymedlin,1
wish,1
could,7
say,13
planned,1
study,5
us,28
oligarchy,2
democracy,2
httptcoezodedlkpm,1
google,10
snoops,1
gmail,1
catch,2
pedophiles,1
httptcofs8ubz3eps,1
we,16
have,18
here,6
appears,2
be,25
internets,1
first,9
true,3
love,8
song,1
written,1
about,21
tinder,1
httptcoynw1fwnpxw,1
wearemoms,2
netflix,7
says,18
subscriber,2
revenue,1
beats,1
hbos,2
httptcolpsmweownr,1
nflx,2
twx,1
snapchat,1
10,4
billion,12
httptconfhxndec6g,1
fcc,6
calls,7
verizon,2
plan,6
throttle,1
connections,1
disturbing,1
httptcoymzybcemsl,1
pgogoi,3
no,9
partner,1
level,1
3,1
slowing,1
traffic,1
httptco53ci7w67rp,1
vz,1
satya,1
nadella,1
mission,1
reshape,1
microsoft,4
httptconxxf34a6m1,1
msft,2
melvinbackman,2
problem,1
spiraling,1
green,5
juice,3
prices,3
3dprinted,1
drones,2
httptcooda468mdcp,1
hobby,1
lobby,1
401k,1
investors,3
companies,4
make,7
contraceptives,1
find,7
byheatherlong,1
httptco7b6supu5lw,1
johnlegere,4
hi,2
john,3
any,7
comment,3
ftc,2
complaint,2
httptcoq4v19d6msw,1
castready,1
apps,4
display,1
googleio,9
httptcobffbaxsjog,1
samsung,1
gear,1
live,4
lg,1
g,1
smartwatches,1
running,4
android,3
wear,2
available,2
order,3
play,3
store,1
now,12
claims,4
1,2
monthly,2
active,1
users,5
globally,1
538,2
million,18
year,9
ago,3
beginning,1
think,8
evolve,1
our,3
platforms,1
beyond,1
mobile,4
pichai,2
sundar,1
head,7
googles,1
chrome,1
divisions,1
takes,6
stage,2
please,4
tweet,3
questions,3
youd,1
me,14
interrupt,1
keynote,2
httptcotku8mxidk9,1
oh,2
should,6
talk,3
friend,1
cant,5
remember,1
her,4
name,4
but,23
website,3
know,7
rest,4
hoping,7
announces,1
big,12
move,1
into,11
fax,1
machines,1
greetings,1
coming,5
speech,1
one,16
hour,1
goog,3
googl,1
buyers,1
smart,1
home,3
technology,1
may,7
unwittingly,1
offering,1
