name,count
aaronsmithcnn,1
youre,5
really,10
tempting,1
fate,1
by,31
posting,2
that,38
twitter,3
whitneymallett,3
as,21
long,4
im,13
getting,7
least,3
two,6
bars,1
i,37
dont,10
freak,1
switching,1
my,25
phone,12
airplane,1
mode,1
night,2
feels,1
like,14
modest,2
spiritual,1
act,3
what,13
happened,2
when,4
canadian,1
town,4
tried,3
guaranteed,1
basic,1
income,2
,323
great,22
piece,5
httptcot2cpbavgxb,1
inside,6
airbnb,1
awesome,5
interactive,2
project,1
nyc,4
listings,1
murrayscox,1
httptco1h6abrjod3,1
aidanfeldman,1
thanks,11
bunch,1
looking,5
forward,3
catching,1
you,47
again,4
soon,4
comcast,3
pr,1
ghostwriting,1
politician,2
letters,1
support,3
comcasttwc,1
merger,2
scoop,1
spencerwoodman,1
httptcofiedhms4zq,1
midnitesnak,1
lets,3
go,4
energy,1
civichall,1
open,2
house,5
today,13
psyched,1
see,10
this,39
community,1
develop,1
delint,2
where,1
slideshow,3
elderly,1
track,2
amp,2
field,2
competitors,1
httptcokrp66rg4oh,1
seems,4
worth,4
resurfacing,1
greek,4
